,Movie,Day of Release,Language
0,Out Of Order,30 apr,English
1,Coolie No 1,1 may,Hindi
2,The Wretched,1 may,English
3,Bhoomi,1 may,Tamil
4,Soorarai Pottru,1 may,Tamil
5,Hobuchandra Raja Gobuchandra Mantri,1 may,Bengali
6,Dracula Sir,1 may,Bengali
7,Dil Bechara,8 may,Hindi
8,Shakuntala Devi,8 may,Hindi
9,Legally Blonde 3,8 may,English
10,Krack,8 may,Telugu
11,The Lovebirds,15 may,English
12,Spiral,15 may,English
13,The Woman In The Window,15 may,English
14,Laxmmi Bomb,22 may,Hindi
15,Radhe,22 may,Hindi
16,The SpongeBob Movie: Sponge on the Run,22 may,English
17,Johaar,22 may,Telugu
18,Ombatthane Dikku,22 may,Kannada
19,Artemis Fowl,29 may,English
20,Romantic,29 may,Telugu
21,Nikamma,5 jun,Hindi
22,Indoo Ki Jawani,5 jun,Hindi
23,Medium Spicy,5 jun,Marathi
24,Belashuru,5 jun,Bengali
25,Chhalaang,12 jun,Hindi
26,Khaali Peeli,12 jun,Hindi
27,Virgin Bhanupriya,12 jun,Hindi
28,Candyman,12 jun,English
29,Puaada,12 jun,Punjabi
30,Minions: The Rise of Gru,19 jun,English
31,Thalaivi,26 jun,"Hindi, "
32,Top Gun: Maverick,26 jun,"Hindi, "
33,Bunty Aur Babli 2,26 jun,Hindi
34,Phatte Dinde Chakk Punjabi,26 jun,Punjabi
35,Jodi (Punjabi),26 jun,Punjabi
36,Shershaah,3 jul,Hindi
37,Saroj Ka Rishta,3 jul,Hindi
38,Free Guy,3 jul,English
39,Rowdy Baby,3 jul,Kannada
40,Sadak 2,10 jul,Hindi
41,Heropanti 2,16 jul,Hindi
42,Madam Chief Minister,17 jul,Hindi
43,Tenet,17 jul,"Hindi, "
44,Shamshera,31 jul,Hindi
45,Bhool Bhulaiyaa 2,31 jul,Hindi
46,Ananya,31 jul,Marathi
47,The Empty Man,7 aug,English
48,Infinite,7 aug,English
49,Bhuj: The Pride of India,14 aug,Hindi
